,iso_code,date,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Year,Mu
25088,COL,2021-11-20,South America,Colombia,5045412.0,2590.0,2296.714,128054.0,41.0,41.143,98416.644,50.521,44.8,2497.843,0.8,0.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,,,,,,,,,,,,,,,,,,
25658,COM,2021-11-20,Africa,Comoros,4440.0,3.0,9.857,150.0,1.0,0.143,4997.434,3.377,11.095,168.832,1.126,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,,,,,,,,,,,,,,,,,,
26269,CPV,2021-11-20,Africa,Cape Verde,38324.0,3.0,4.429,350.0,0.0,0.0,68204.185,5.339,7.881,622.886,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,,,,,,,,,,,,,,,,,,
26894,CRI,2021-11-20,North America,Costa Rica,565548.0,0.0,198.429,7251.0,0.0,7.714,110049.069,0.0,38.612,1410.96,0.0,1.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,,,,,,,,,,,,,,,,,,
27513,CUB,2021-11-20,North America,Cuba,960472.0,287.0,297.429,8293.0,3.0,2.0,84866.107,25.359,26.28,732.759,0.265,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,,,,,,,,,,,,,,,,,,
27753,CUW,2021-11-20,North America,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196835.0,102378.0,94457.0,,,161.0,119.44,62.12,57.32,,977.0,60.0,0.036,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,60.0,0.036,161.0,977.0,,,,,,,,,,,,,
28075,CYM,2021-11-12,North America,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119435.0,57357.0,55157.0,,,418.0,179.61,86.25,82.95,,6286.0,67.0,0.101,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,,67.0,0.101,418.0,6286.0,,,,,,,,,,,,,
28698,CYP,2021-11-20,Europe,Cyprus,129888.0,730.0,407.429,590.0,1.0,0.429,144963.477,814.728,454.717,658.478,1.116,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,,,,,,,,,,,,,,,,,,
29335,CZE,2021-11-20,Europe,Czechia,1980849.0,23033.0,14234.714,32005.0,126.0,82.0,184702.244,2147.689,1327.301,2984.274,11.749,7.646,,,,,,,,,,,,,,,,,,,13019906.0,6507226.0,6248339.0,621071.0,15346.0,33638.0,121.4,60.68,58.26,5.79,3137.0,12695.0,0.118,,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,,12695.0,0.118,33638.0,3137.0,15346.0,,,,,,,,,,,,
29999,DEU,2021-11-20,Europe,Germany,5374446.0,45183.0,48201.0,99067.0,74.0,198.571,64057.4,538.531,574.502,1180.768,0.882,2.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,,,,,,,,,,,,,,,,,
